Description,Status,Parking Included,Parking Price,Locker Included,Locker Price,Building Type,Deposit Structure
"45 Balliol Street Condos is a new condominium development by Greenrock Resident Services currently in pre-construction located at 45 Balliol Street, Toronto in the Davisville Village neighbourhood with a 88/100 walk score and a 80/100 transit score. 45 Balliol Street Condos is designed by CORE Architects. The project is 40 storeys tall and has a total of 471 suites. 45 Balliol Street Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"3374 Keele Street Condos is a new condominium development by Crown Communities currently in pre-construction located at 3374 Keele Street, Toronto in the York University neighbourhood with a 52/100 walk score and a 72/100 transit score. 3374 Keele Street Condos is designed by Kirkor Architect + Planners. The project is 29 storeys tall and has a total of 296 suites. 3374 Keele Street Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"Forest Hill Towns is a new condominium development by Metroly Developments currently in pre-construction located at 1677 Bathurst Street, Toronto in the Forest Hill neighbourhood with a 49/100 walk score and a 75/100 transit score. Forest Hill Towns is designed by RAW Design. The project is 4 storeys tall and has a total of 32 suites. Forest Hill Towns is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Townhouse,
"The Dylan 2 Condos is a new condominium development by Chestnut Hill Developments currently in pre-construction located at 805 Glencairn Avenue, Toronto in the Glen Park neighbourhood with a 63/100 walk score and a 81/100 transit score. The Dylan 2 Condos is designed by Kirkor Architects and Planners. The project is 28 storeys tall and has a total of 306 suites. The Dylan 2 Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"St Clair Gardens Condos is a new condominium development by Alterra & Distrikt Developments currently in pre-construction located at 1500 Saint Clair Avenue West, Toronto in the Corso Italia-Earlscourt neighbourhood with a 89/100 walk score and a 76/100 transit score. St Clair Gardens Condos is designed by Sweeny & Co.. The project is 17 storeys tall and has a total of 770 suites. St Clair Gardens Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"Hickory Tree Tower Condos is a new condominium development by A1 Capital & A1 Development & Arkfield currently in pre-construction located at 1736 Weston Road, Toronto in the Weston neighbourhood with a 71/100 walk score and a 80/100 transit score. Hickory Tree Tower Condos is designed by DIALOG. The project is 40 storeys tall and has a total of 446 suites. Hickory Tree Tower Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"888 Dupont Street Condos is a new condominium development by TAS currently in pre-construction located at Ossington Avenue & Dupont Street, Toronto in the Wallace Emerson neighbourhood with a 86/100 walk score and a 86/100 transit score. 888 Dupont Street Condos is designed by Suulin Architects Inc.. Development is scheduled to be completed in 2024. The project is 13 storeys tall and has a total of 86 suites. 888 Dupont Street Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"878 Yonge Street Condos is a new condominium development by Cityzen Development Group currently in pre-construction located at 878 Yonge Street, Toronto in the Yorkville neighbourhood with a 100/100 walk score and a 97/100 transit score. 878 Yonge Street Condos is designed by KPMB. The project is 51 storeys tall (229.0m, 751.3ft) and has a total of 165 suites. 878 Yonge Street Condos is the # tallest condominium in  and the # tallest condominium in . 878 Yonge Street Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"87 Ethel Ave Condos is a new condominium development by iKORE Developments Ltd. currently in pre-construction located at 87 Ethel Avenue, Toronto in the The Junction neighbourhood with a 72/100 walk score and a 84/100 transit score. 87 Ethel Ave Condos is designed by Sol-Arch. The project is 19 storeys tall and has a total of 1255 suites. 87 Ethel Ave Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"2440 Yonge Street Condos is a new condominium development by First Capital Realty & Main and Main Developments currently in pre-construction located at 2440 Yonge Street, Toronto in the Lytton Park neighbourhood with a 97/100 walk score and a 90/100 transit score. 2440 Yonge Street Condos is designed by Hariri Pontarini Architects. The project is 27 storeys tall and has a total of 542 suites. 2440 Yonge Street Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo &Townhouse,
"138 Yorkville Condos is a new condominium development by First Capital Realty & Greybrook Realty Partners currently in pre-construction located at 138 Yorkville Avenue, Toronto in the Yorkville neighbourhood with a 99/100 walk score and a 99/100 transit score. 138 Yorkville Condos is designed by Giannone Petricone Associates Inc.. The project is 29 storeys tall (128.0m, 430.0ft) and has a total of 66 suites. 138 Yorkville Condos is the # tallest condominium in  and the # tallest condominium in . 138 Yorkville Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"The Millwood Condos is a new condominium development by Times Group Corporation currently in pre-construction located at 1951 Yonge Street, Toronto in the Davisville Village neighbourhood with a 97/100 walk score and a 93/100 transit score. The Millwood Condos is designed by CORE Architects. The project is 45 storeys tall and has a total of 815 suites. The Millwood Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"NY Walk Towns is a new condominium development by Menkes Developments Ltd. currently in pre-construction located at 57 Linelle Street, Toronto in the Lansing-Westgate neighbourhood with a 59/100 walk score and a 81/100 transit score. NY Walk Towns is designed by RN Design. The project has a total of 34 suites ranging from 2000 sq.ft to 2433 sq.ft. NY Walk Towns is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Townhouse,
"90 Eglinton Avenue East Condos is a new condominium development by Madison Group currently in pre-construction located at 90 Eglinton Avenue East, Toronto in the Yonge & Eglinton neighbourhood with a 98/100 walk score and a 94/100 transit score. 90 Eglinton Avenue East Condos is designed by Teeple Architects and Turner Fleischer Architects. The project is 59 storeys tall and has a total of 1,116 suites. 90 Eglinton Avenue East Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"90 Eglinton Avenue West Condos is a new condominium development by Madison Homes currently in pre-construction located at 90 Eglinton Avenue West, Toronto in the Lytton Park neighbourhood with a 98/100 walk score and a 94/100 transit score. 90 Eglinton Avenue West Condos is designed by Turner Fleischer Architects. The project is 35 storeys tall (111.0m, 364.2ft) and has a total of 702 suites. 90 Eglinton Avenue West Condos is the # tallest condominium in  and the # tallest condominium in . 90 Eglinton Avenue West Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"61 Brownlea Avenue Condos is a new condominium development by Menkes Developments Ltd. currently in pre-construction located at 61 Brownlea Avenue, Toronto in the Davisville Village neighbourhood with a 55/100 walk score and a 74/100 transit score. 61 Brownlea Avenue Condos is designed by Turner Fleischer Architects. The project is 45 storeys tall and has a total of 1161 suites. 61 Brownlea Avenue Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"55 Eglinton Avenue East Condos is a new condominium development by State Building Group currently in pre-construction located at 55 Eglinton Avenue East, Toronto in the Davisville Village neighbourhood with a 99/100 walk score and a 95/100 transit score. 55 Eglinton Avenue East Condos is designed by Kirkor Architect + Planners. The project is 50 storeys tall and has a total of 461 suites. 55 Eglinton Avenue East Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"25 Imperial Street Condos is a new condominium development by Dream & Plaza Partners currently in pre-construction located at 25 Imperial Street, Toronto in the Chaplin Estates neighbourhood with a 92/100 walk score and a 90/100 transit score. 25 Imperial Street Condos is designed by BDP Quadrangle. The project is 14 storeys tall and has a total of 143 suites. 25 Imperial Street Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"Alaska Condos is a new condominium development by Bianca Pollak currently in pre-construction located at 2779 Yonge Street, Toronto in the Yonge & Eglinton neighbourhood with a 85/100 walk score and a 73/100 transit score. Alaska Condos is designed by Quadrangle Architects Ltd. & Will Alsop. The project is 9 storeys tall and has a total of 122 suites. Alaska Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"561 Jarvis Street Condos is a new condominium development by Originate Developments Inc. currently in pre-construction located at 561 Jarvis Street, Toronto in the Cabbagetown neighbourhood with a 94/100 walk score and a 89/100 transit score. 561 Jarvis Street Condos is designed by Kirkor Architects and Planners. The project is 58 storeys tall and has a total of 690 suites. 561 Jarvis Street Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"90 Isabella Street Condos is a new condominium development by Capital Developments currently in pre-construction located at 90 Isabella Street, Toronto in the Church & Wellesley neighbourhood with a 97/100 walk score and a 90/100 transit score. 90 Isabella Street Condos is designed by Diamond Schmitt Architects. Development is scheduled to be completed in 2029. The project is 69 storeys tall and has a total of 831 suites. 90 Isabella Street Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"170 Roehampton Avenue Condos is a new condominium development by Capital Developments & Metropia Urban Landscapes currently in pre-construction located at 170 Roehampton Avenue, Toronto in the Yonge & Eglinton neighbourhood with a 92/100 walk score and a 88/100 transit score. 170 Roehampton Avenue Condos is designed by Sweeny & Co.. Development is scheduled to be completed in 2028. The project is 49 storeys tall and has a total of 582 suites. 170 Roehampton Avenue Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"290 Old Weston Road Condos is a new condominium development by i2 Developments currently in pre-construction located at 290 Old Weston Road, Toronto in the The Junction neighbourhood with a 92/100 walk score and a 84/100 transit score. 290 Old Weston Road Condos is designed by TACT Architecture Inc.. The project is 23 storeys tall and has a total of 370 suites. 290 Old Weston Road Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"148 Avenue Road Condos is a new condominium development by Greybrook Realty Partners & Tribute Communities currently in pre-construction located at 148 Avenue Road, Toronto in the The Annex neighbourhood with a 92/100 walk score and a 86/100 transit score. 148 Avenue Road Condos is designed by Chris Dikeakos Architects Inc. and CGL Architects. The project is 35 storeys tall and has a total of 330 suites. 148 Avenue Road Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
